Urun;Ekim Zamaný;Hasat Zamaný;Sýcaklýk (°C);Toprak Nemi;Ruzgar Koþulu;Not
Armut;Kasým–Mart;Haziran – Eylül;15–25;Orta;Orta altý;"Soguklama ihtiyacý yuksek; kýs soguklarý verimi artýrýr"
Arpa;Ekim–Kasým;Haziran – Temmuz;10–20;Orta;Cok siddetli ruzgarlarda zarar gorebilir;Kuraklýga dayanýklý, dusuk sýcaklýkta cimlenebilir
Aycicegi;Nisan–Mayýs;Agustos–Eylul;20–30;Orta–Dusuk;Orta;Ciceklenme doneminde nem ihtiyacý artar, kuraklýk stresi zarar verir
Ayva;Kasým–Mart;Ekim–Kasým;10–20;Orta;Orta;Kýs soguklarý ciceklenme ve verim icin gereklidir
Bakla;Ekim–Kasým;Mayýs–Haziran;10–20;Yüksek;Hafif;Soguga dayanýklý
Bezelye;Subat–Mart;Mayýs–Haziran;10–20;Orta;Orta;"Serin iklim sever; sýcak havada ciceklenme bozulabilir"
Biber;Mart–Mayýs;Temmuz–Eylül;20–30;Yüksek;Orta;"Ciceklenmede ruzgar zarar verir; duzenli sulama verimi artýrýr"
Bugday;Ekim–Kasým;Haziran–Temmuz;10–25;Orta;Orta;"Kýslýk ekim verimi artýrýr; basaklanma doneminde su istegi yuksektir"
Domates;Mart–Mayýs;Haz.–Eyl.;20–30;Yuksek;Orta;"Sýcak sever; kuraklýkta verim duser, catlama ve cicek dokumu olabilir"
Elma;Kasým–Mart;Eylül–Kasým;15–25;Orta;Orta;"Soguklama suresi onemli; sýcak bolgelerde kaliteli urun zor"
Fasulye;Nisan–Mayýs;Temmuz–Eylül;18–25;Yuksek;Orta;"Sýcaklýk ister; ciceklenmede soguk hava ve asýrý su zararlýdýr"
Ispanak;Eylul–Ekim;Kasým-Aralýk;10–18;Orta;Orta;"Serin hava sever; sýcakta yaprak kalitesi duser"
Kabak;Mart–Mayýs;Temmuz–Eylül;20–30;Orta;Orta;"Gunesli ve sýcak hava ister; asýrý sulama mantar riskini artýrýr"
Kanola;Ekim–Kasým;Haziran–Temmuz;10–20;Orta;Orta;"Kýslýk ekim uygundur; ilkbahar donlarýna karsý dayanýklýdýr"
Karpuz;Mart–Mayýs;Temmuz–Agustos;22–32;Yuksek;Orta;"Don riski olmamalý; yüksek sýcaklýkta sekerlenme artar"
Kavun;Mart–Mayýs;Temmuz–Aðustos;20–30;Orta;Orta;"Sýcak ve güneþli iklim sever; nemli hava hastalýk riskini artýrýr"
Marul;Nisan–Ekim;Haziran–Kasým;10–20;Orta–Yuksek;Hafif;"Sýcaklýk arttýkca acýlasýr, bas yapmaz; serin ve golgeli alan uygun"
Patlýcan;Mart–Mayýs;Temmuz–Eylül;20–35;Orta;Orta;"Soguga hassas; gece sýcaklýgý 15°C altýna dusmemeli"
Mýsýr Silajý;Nisan–Mayýs;Temmuz–Eylul;20–30;Yuksek;Orta;"Gelisim doneminde su stresi kritik; sut olum devresine dikkat edilmeli"
Turp;Eylul–Ekim;Kasým–Aralýk;10–18;Orta;Orta;" Soguk iklimde daha iyi gelisir; sýcak havada liflenme olur"
Yulaf;Ekim–Kasým;Haziran–Temmuz ;10–20;Orta;Orta;"Kuraklýga dayanýklý; nemli toprakta daha hýzlý çimlenir"
